"Action Link Group Template","ActionLinkGroupTemplate"
"Analytic Snapshot","AnalyticSnapshot"
"Apex Class","ApexClass"
"Apex Trigger","ApexTrigger"
"App Menu","AppMenu"
"Layout [User Profile]","Layout [User Profile]"
"Application","CustomApplication"
"Approval Process","ApprovalProcess"
"Assignment Rule","AssignmentRule"
"Aura Definition Bundle","AuraDefinitionBundle"
"Authentication Provider","AuthProvider"
"Auto Response Rule","AutoResponseRule"
"Branding Set","BrandingSet"
"Business Process","BusinessProcess"
"CORS Whitelist Origin","CorsWhitelistOrigin"
"CSP Trusted Site","CspTrustedSite"
"Call Center","CallCenter"
"Case Subject Particle","PLACEHOLDER"
"Certificate","Certificate"
"Community","Community"
"Compact Layout","CompactLayout"
"Connected App","ConnectedApp"
"Content Asset","ContentAsset"
"Criteria-Based Sharing Rule","SharingOwnerRule"
"Custom Button or Link","PLACEHOLDER"
"Custom Console Component","PLACEHOLDER"
"Custom Metadata","CustomMetadata"
"Custom Object Tab","CustomTab"
"Custom Object Translation","CustomObjectTranslation"
"Custom Page Web Link","CustomPageWebLink"
"Custom Permission","CustomPermission"
"Custom Setting","CustomObject"
"Custom Site","CustomSite"
"Dashboard Folder","PLACEHOLDER"
"Dashboard","Dashboard"
"Data Category Group","DataCategoryGroup"
"Delegate Group","DelegateGroup"
"Document Folder","Document"
"Document","Document"
"Email Folder","EmailFolder"
"Email Template","EmailTemplate"
"Entitlement Process","EntitlementProcess"
"Entitlement Template","EntitlementTemplate"
"Escalation Rule","EscalationRule"
"External Data Source","ExternalDataSource"
"External Service Registration","ExternalServiceRegistration"
"Field Set","FieldSet"
"Field","CustomField"
"Flexible Page","FlexiPage"
"Flow","Flow"
"Global Picklist","PLACEHOLDER"
"Global Value Set","GlobalValueSet"
"Group","Group"
"Home Page Component","HomePageComponent"
"Home Page Layout","HomePageLayout"
"Index","PLACEHOLDER"
"Installed Package","InstalledPackage"
"Keyword List","KeywordList"
"Label","CustomLabel"
"Layout","Layout"
"Lead Convert Settings","LeadConvertSettings"
"Letterhead","Letterhead"
"List View","ListView"
"Live Chat Agent Configuration","PLACEHOLDER"
"Live Chat Button","PLACEHOLDER"
"Live Chat Deployment","PLACEHOLDER"
"Lookup Filter","PLACEHOLDER"
"Milestone Type","MilestoneType"
"Network Branding","PLACEHOLDER"
"Network","Network"
"Object","CustomObject"
"Org Wide Default","PLACEHOLDER"
"Owner Sharing Rule","OwnerSharingRule"
"Path Assistant","PathAssistant"
"Permission Set","PermissionSet"
"Platform Cache Partition","PlatformCachePartition"
"Portal","PLACEHOLDER"
"Post Template","PostTemplate"
"Profile Password Policy","PLACEHOLDER"
"Profile Session Setting","PLACEHOLDER"
"Profile","Profile"
"Queue","Queue"
"Quick Action","QuickAction"
"Record Type","RecordType"
"Remote Site","PLACEHOLDER"
"Report Folder","PLACEHOLDER"
"Report Type","ReportType"
"Report","Report"
"Role","Role"
"SAML SSO Configuration","SamlSsoConfig"
"Search Layout","PLACEHOLDER"
"Settings","Settings"
"Sharing Set","SharingSet"
"Skill","PLACEHOLDER"
"Standard Button or Link","PLACEHOLDER"
"Standard Value Set","StandardValueSet"
"Static Resource","StaticResource"
"Territory Sharing Rule","PLACEHOLDER"
"Territory","PLACEHOLDER"
"Topics For Objects","TopicsForObjects"
"Translations","PLACEHOLDER"
"Validation Rule","ValidationRule"
"Visualforce Component","ApexComponent"
"Visualforce Page","ApexPage"
"Visualforce Tab","CustomTab"
"Wave Application","PLACEHOLDER"
"Wave Dataflow","PLACEHOLDER"
"Web Tab","PLACEHOLDER"
"Workflow Email Alert","WorkflowAlert"
"Workflow Field Update","WorkflowFieldUpdate"
"Workflow Flow Action","PLACEHOLDER"
"Workflow Knowledge Publish","PLACEHOLDER"
"Workflow Outbound Message","PLACEHOLDER"
"Workflow Rule","WorkflowRule"
"Workflow Send","PLACEHOLDER"
"Workflow Task","WorkflowTask"
