"VlocityType","sObject"
"Attachment","Attachment"
"AttributeAssignmentRule","AttributeAssignmentRule__c"
"AttributeCategory","AttributeCategory__c"
"CalculationMatrix","CalculationMatrix__c"
"CalculationProcedure","CalculationProcedure__c"
"ContextAction","ContextAction__c"
"ContextDimension","ContextDimension__c"
"ContextScope","ContextScope__c"
"ContractType","ContractType__c"
"DataRaptor","DRBundle__c"
"Document","Document"
"DocumentClause","DocumentClause__c"
"DocumentTemplate","DocumentTemplate__c"
"EntityFilter","EntityFilter__c"
"ItemImplementation","ItemImplementation__c"
"ManualQueue","ManualQueue__c"
"ObjectClass","ObjectClass__c"
"ObjectContextRule","ObjectRuleAssignment__c"
"ObjectLayout","ObjectLayout__c"
"IntegrationProcedure","OmniScript__c"
"OmniScript","OmniScript__c"
"OrchestrationDependencyDefinition","OrchestrationDependencyDefinition__c"
"OrchestrationItemDefinition","OrchestrationItemDefinition__c"
"OrchestrationPlanDefinition","OrchestrationPlanDefinition__c"
"Pricebook2","Pricebook2"
"PriceList","PriceList__c"
"PricingVariable","PricingVariable__c"
"Product2","Product2"
"Promotion","Promotion__c"
"QueryBuilder","QueryBuilder__c"
"Rule","Rule__c"
"StoryObjectConfiguration","StoryObjectConfiguration__c"
"System","System__c"
"TimePlan","TimePlan__c"
"TimePolicy","TimePolicy__c"
"UIFacet","UIFacte__c"
"UISection","UISection__c"
"VlocityAction","VlocityAction__c"
"VlocityAttachment","VlocityAttachment__c"
"VlocityCard","VlocityCard__c"
"VlocityFunction","VlocityFunction__c"
"VlocityPicklist","Picklist__c"
"VlocitySearchWidgetSetup","VlocitySearchWidgetSetup__c"
"VlocityStateModel","VlocityStateModel__c"
"VlocityUILayout","VlocityUILayout__c"
"VlocityUITemplate","VlocityUITemplate__c"
"VqMachine","VqMachine__c"
"VqResource","VqResource__c"
